State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss
no.","Taxable income or loss
$","Average taxable income or loss3
$","Median taxable income or loss3
$",Australian rank5 descending,Ranking5 by state/ territory descending
NSW,2261,"31,059","31,059","1,547,188,910","49,815","42,189","1,512",399
NSW,2262,"9,960","9,960","460,972,455","46,282","40,546","1,868",475
NSW,2263,"11,189","11,189","519,204,616","46,403","39,666","1,851",469
NSW,2264,"7,655","7,655","382,417,479","49,957","39,695","1,495",394
NSW,2265,"3,189","3,189","168,439,322","52,819","42,326","1,237",338
NSW,2267,"1,560","1,560","80,323,253","51,489","40,081","1,350",361
NSW,2278,"1,453","1,453","76,121,631","52,389","45,956","1,268",346
NSW,2280,"15,264","15,264","868,896,468","56,925","43,392",903,257
NSW,2281,"7,483","7,483","396,915,234","53,042","41,512","1,224",335
NSW,2282,"9,066","9,066","541,096,457","59,684","45,792",713,210
NSW,2283,"12,747","12,747","706,630,141","55,435","41,271","1,007",285
NSW,2284,"5,744","5,744","302,035,363","52,583","43,576","1,249",342
NSW,2285,"17,266","17,266","928,063,532","53,751","46,802","1,168",321
NSW,2286,"2,248","2,248","113,080,174","50,303","44,723","1,458",387
NSW,2287,"20,290","20,290","1,077,480,562","53,104","44,662","1,221",334
NSW,2289,"11,526","11,526","672,216,314","58,322","46,812",802,228
NSW,2290,"19,358","19,358","1,097,283,935","56,684","45,293",920,263
NSW,2291,"9,008","9,008","726,893,253","80,694","52,034",186,76
NSW,2292,"1,490","1,490","84,182,122","56,498","47,298",930,266
NSW,2293,"1,673","1,673","100,026,821","59,789","49,998",707,208
NSW,2294,"1,182","1,182","68,359,643","57,834","48,043",840,240
NSW,2295,"3,732","3,732","212,895,565","57,046","47,017",892,252
NSW,2296,"1,109","1,109","61,470,197","55,428","48,250","1,009",286
NSW,2297,929,929,"51,584,637","55,527","46,588",999,283
NSW,2298,"4,898","4,898","248,389,001","50,712","43,772","1,431",381
NSW,2299,"5,876","5,876","307,129,200","52,268","42,908","1,283",348
NSW,2300,"7,548","7,548","592,347,218","78,477","53,144",208,82
NSW,2302,525,525,"31,483,843","59,969","50,602",697,204
NSW,2303,"5,346","5,346","347,576,262","65,016","46,974",470,160
NSW,2304,"8,267","8,267","422,703,089","51,131","44,302","1,389",371
NSW,2305,"7,573","7,573","501,678,282","66,246","50,118",423,145
NSW,2306,893,893,"35,473,967","39,724","37,225","2,467",616
NSW,2307,"1,938","1,938","87,504,523","45,152","41,024","2,013",509
NSW,2308,144,144,"2,964,829","20,589","16,074","2,691",656
NSW,2311,495,495,"20,854,009","42,129","32,877","2,301",578
NSW,2312,749,749,"29,807,691","39,797","34,343","2,458",611
NSW,2314,59,59,"3,455,905","58,575","57,584",786,226
NSW,2315,"8,233","8,233","421,065,450","51,144","36,754","1,386",369
NSW,2316,"3,158","3,158","153,851,310","48,718","37,738","1,616",419
NSW,2317,"3,555","3,555","177,339,335","49,884","35,482","1,502",395
NSW,2318,"6,913","6,913","375,832,717","54,366","45,253","1,108",307
NSW,2319,"3,069","3,069","141,736,049","46,183","37,866","1,877",478
NSW,2320,"19,067","19,067","1,147,227,387","60,168","45,868",687,203
NSW,2321,"8,659","8,659","511,134,003","59,029","47,749",757,221
NSW,2322,"10,656","10,656","574,583,532","53,921","46,146","1,149",315
NSW,2323,"14,154","14,154","776,551,637","54,864","45,326","1,062",295
NSW,2324,"12,152","12,152","589,580,782","48,517","40,252","1,631",422
NSW,2325,"12,941","12,941","666,628,367","51,513","41,167","1,348",360
NSW,2326,"3,529","3,529","174,609,278","49,478","42,393","1,540",404
NSW,2327,"3,597","3,597","170,179,446","47,311","41,288","1,750",450
NSW,2328,"1,307","1,307","73,835,103","56,492","43,308",931,267
NSW,2329,"1,059","1,059","49,668,115","46,901","36,901","1,796",457
NSW,2330,"11,600","11,600","759,364,341","65,462","48,448",444,153
NSW,2333,"7,127","7,127","443,245,044","62,192","47,548",577,184
NSW,2334,"1,435","1,435","83,041,373","57,869","47,979",839,239
NSW,2335,"3,654","3,654","226,171,010","61,897","48,118",593,189
NSW,2336,"1,401","1,401","82,087,153","58,592","46,411",784,225
NSW,2337,"4,550","4,550","259,424,625","57,016","43,584",895,253
NSW,2338,705,705,"31,142,807","44,174","34,951","2,113",535
NSW,2339,415,415,"21,521,691","51,860","35,016","1,313",354
NSW,2340,"28,005","28,005","1,396,806,407","49,877","42,625","1,506",398
NSW,2341,666,666,"30,078,294","45,163","37,276","2,009",508
NSW,2342,270,270,"11,687,922","43,289","38,538","2,192",556
NSW,2343,"2,629","2,629","125,662,970","47,799","39,225","1,707",440
NSW,2344,433,433,"20,089,435","46,396","40,821","1,853",470
NSW,2345,424,424,"19,589,769","46,202","40,534","1,873",476
NSW,2346,"1,435","1,435","59,384,116","41,383","35,942","2,362",586
NSW,2347,856,856,"35,772,101","41,790","33,132","2,325",581
NSW,2350,"14,071","14,071","697,128,463","49,544","39,578","1,536",403
NSW,2351,71,71,"2,523,034","35,536","19,666","2,614",643
NSW,2352,"1,517","1,517","70,967,375","46,781","41,759","1,809",461
NSW,2353,580,580,"25,777,651","44,444","38,736","2,083",526
NSW,2354,"2,165","2,165","89,753,063","41,456","34,588","2,356",585
NSW,2355,337,337,"12,221,510","36,266","32,548","2,600",640
NSW,2356,57,57,"1,508,990","26,474","27,890","2,686",654
NSW,2357,"1,973","1,973","89,485,193","45,355","37,083","1,978",504
NSW,2358,"2,110","2,110","93,431,851","44,280","35,930","2,101",532
NSW,2359,373,373,"13,495,917","36,182","30,967","2,602",641
NSW,2360,"7,303","7,303","322,024,254","44,095","38,296","2,118",536
NSW,2361,384,384,"12,809,961","33,359","28,830","2,650",649
NSW,2365,"1,969","1,969","78,897,919","40,070","34,807","2,446",609
NSW,2369,347,347,"13,076,919","37,686","33,872","2,562",631
NSW,2370,"3,718","3,718","147,742,847","39,737","33,793","2,466",615
NSW,2371,550,550,"17,673,598","32,134","27,422","2,664",652
NSW,2372,"2,446","2,446","87,750,792","35,875","29,356","2,608",642
NSW,2379,201,201,"10,217,414","50,833","37,357","1,415",377
NSW,2380,"5,720","5,720","319,998,263","55,944","43,885",974,276
NSW,2381,635,635,"34,893,560","54,950","42,301","1,047",292
NSW,2382,724,724,"35,605,234","49,178","37,642","1,571",408
NSW,2386,223,223,"9,795,226","43,925","37,668","2,132",541
NSW,2387,130,130,"11,061,181","85,086","33,967",142,61
NSW,2388,"1,391","1,391","65,699,746","47,232","40,669","1,756",451
NSW,2390,"4,878","4,878","263,243,686","53,966","44,286","1,146",314
NSW,2395,276,276,"10,223,024","37,040","29,262","2,582",638
NSW,2396,406,406,"17,502,619","43,110","37,244","2,207",559
NSW,2397,254,254,"14,501,729","57,093","47,467",889,250
NSW,2398,145,145,"9,188,014","63,366","51,783",530,174
NSW,2399,332,332,"17,238,273","51,923","47,495","1,308",353
NSW,2400,"5,522","5,522","320,389,096","58,020","45,769",829,236
NSW,2401,163,163,"7,109,960","43,619","37,094","2,161",551
NSW,2402,910,910,"39,814,493","43,752","37,104","2,150",547
NSW,2403,356,356,"12,407,414","34,852","31,013","2,631",647
NSW,2404,828,828,"32,940,511","39,783","33,392","2,460",612
NSW,2405,304,304,"20,700,329","68,093","44,614",378,133
NSW,2406,450,450,"31,693,912","70,431","46,908",320,113
NSW,2408,238,238,"12,803,032","53,794","51,074","1,161",319
NSW,2409,300,300,"16,520,147","55,067","38,279","1,037",289
NSW,2410,111,111,"6,464,855","58,242","35,895",809,231
NSW,2411,61,61,"2,957,176","48,478","39,507","1,635",424
NSW,2415,188,188,"8,280,352","44,044","38,036","2,122",537
NSW,2420,"2,091","2,091","93,264,043","44,603","35,263","2,070",520
NSW,2421,"1,124","1,124","69,306,386","61,660","42,986",598,190
NSW,2422,"2,730","2,730","109,103,713","39,965","30,864","2,451",610
NSW,2423,"1,452","1,452","58,557,640","40,329","32,742","2,429",607
NSW,2424,194,194,"6,539,099","33,707","26,790","2,648",648
NSW,2425,977,977,"47,505,750","48,624","38,561","1,620",420
NSW,2426,336,336,"13,572,513","40,394","36,822","2,426",606
NSW,2427,"1,397","1,397","59,717,180","42,747","32,054","2,244",566
NSW,2428,"11,594","11,594","497,927,602","42,947","34,130","2,223",564
NSW,2429,"4,788","4,788","190,337,781","39,753","34,477","2,463",614
NSW,2430,"16,210","16,210","708,067,254","43,681","36,355","2,156",550
NSW,2431,"2,469","2,469","104,133,974","42,177","34,047","2,296",577
NSW,2439,"1,483","1,483","60,635,571","40,887","35,088","2,391",596
NSW,2440,"9,890","9,890","399,610,185","40,405","35,596","2,424",605
NSW,2441,"2,422","2,422","98,808,735","40,796","33,259","2,396",597
NSW,2443,"4,169","4,169","161,132,611","38,650","31,773","2,524",623
NSW,2444,"25,834","25,834","1,267,595,094","49,067","38,471","1,582",411
NSW,2445,"3,675","3,675","169,096,482","46,013","36,966","1,897",486
